days_out,query_date,wtp_J,bid_J,pacing_J,sold_J,available_J,protected_J,load_factor_J,wtp_W,bid_W,pacing_W,sold_W,available_W,protected_W,load_factor_W,wtp_Y,bid_Y,pacing_Y,sold_Y,available_Y,protected_Y,load_factor_Y,bookings_this_step,group_bookings_this_step,award_bookings_this_step
355,2025-08-20,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,1468.1167,1,225,153,0.0050,0,0,0
354,2025-08-21,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,1410.5512,1,225,153,0.0050,0,0,0
353,2025-08-22,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,1355.2429,1,225,153,0.0050,0,0,0
352,2025-08-23,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,1302.1032,1,225,153,0.0050,0,0,0
351,2025-08-24,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,1251.0472,1,225,153,0.0050,0,0,0
350,2025-08-25,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,1201.9932,1,225,153,0.0050,0,0,0
349,2025-08-26,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,1154.8625,1,225,153,0.0050,0,0,0
348,2025-08-27,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,1109.5799,1,225,153,0.0050,0,0,0
347,2025-08-28,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,1066.0729,1,225,153,0.0050,0,0,0
346,2025-08-29,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,1024.2717,1,225,153,0.0050,0,0,0
345,2025-08-30,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,984.1097,1,225,153,0.0050,0,0,0
344,2025-08-31,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,945.5224,1,225,153,0.0050,0,0,0
343,2025-09-01,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,908.4481,1,225,153,0.0050,0,0,0
342,2025-09-02,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,872.8275,1,225,153,0.0050,0,0,0
341,2025-09-03,1683.84,1683.84,1.0000,0,52,28,0.0000,698.86,698.86,1.0000,0,26,11,0.0000,417.04,625.57,838.6037,1,225,153,0.0050,0,0,0
